name,oracle_text,oracleid,tag,type_line
Ragamuffyn,"Hellbent — {T}, Sacrifice a creature or land: Draw a card. Activate this ability only if you have no cards in hand.",20d09deb-6b78-4aa9-93c2-81385e0091a9,sacrifice-outlet,Creature — Zombie Cleric
Raiding Party,"Raiding Party can't be the target of white spells or abilities from white sources.
Sacrifice an Orc: Each player may tap any number of untapped white creatures they control. For each creature tapped this way, that player chooses up to two Plains. Then destroy all Plains that weren't chosen this way by any player.",1d9b8859-14e3-4bbe-ad92-916b25a37b31,removal,Enchantment
Ramunap Ruins,"{T}: Add {C}.
{T}, Pay 1 life: Add {R}.
{2}{R}{R}, {T}, Sacrifice a Desert: Ramunap Ruins deals 2 damage to each opponent.",d0d35864-1edc-4af1-9b89-3d7e94908011,sacrifice-outlet,Land — Desert
"Rankle, Master of Pranks","Flying, haste
Whenever Rankle, Master of Pranks deals combat damage to a player, choose any number —
• Each player discards a card.
• Each player loses 1 life and draws a card.
• Each player sacrifices a creature.",b8619990-9dc2-4fcc-bc7e-457b77cd2a8e,sacrifice-outlet,Legendary Creature — Faerie Rogue
Rath's Edge,"{T}: Add {C}.
{4}, {T}, Sacrifice a land: Rath's Edge deals 1 damage to any target.",e10e84a7-d564-487a-ac64-5a001a45ee90,sacrifice-outlet,Legendary Land
Reckless Abandon,"As an additional cost to cast this spell, sacrifice a creature.
Reckless Abandon deals 4 damage to any target.",f24d5187-0f80-4528-bf44-03ae146f3551,sacrifice-outlet,Sorcery
Recurring Nightmare,"Sacrifice a creature, Return Recurring Nightmare to its owner's hand: Return target creature card from your graveyard to the battlefield. Activate this ability only any time you could cast a sorcery.",a6708b11-1bcd-4208-a967-fe91f2e3313c,sacrifice-outlet,Enchantment
Rhys the Exiled,"Whenever Rhys the Exiled attacks, you gain 1 life for each Elf you control.
{B}, Sacrifice an Elf: Regenerate Rhys the Exiled.",7613c50b-4568-4340-b64a-ab427aaffd51,sacrifice-outlet,Legendary Creature — Elf Warrior
Rite of Consumption,"As an additional cost to cast this spell, sacrifice a creature.
Rite of Consumption deals damage equal to the sacrificed creature's power to target player or planeswalker. You gain life equal to the damage dealt this way.",327121a1-f193-44c6-a834-802095abec84,sacrifice-outlet,Sorcery
Rupture,Sacrifice a creature. Rupture deals damage equal to that creature's power to each creature without flying and each player.,d2179a54-4b45-4b67-a31c-aa1a7bcfda2c,sacrifice-outlet,Sorcery
Ruthless Knave,"{2}{B}, Sacrifice a creature: Create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")
Sacrifice three Treasures: Draw a card.",00225c40-27ff-410f-a591-5c788c6a2bd6,sacrifice-outlet,Creature — Orc Pirate
Sacrifice,"As an additional cost to cast this spell, sacrifice a creature.
Add an amount of {B} equal to the sacrificed creature's converted mana cost.",068b3692-411b-44d4-a7e9-005262760cfc,ramp,Instant
Sage of Lat-Nam,"{T}, Sacrifice an artifact: Draw a card.",f34be3cc-ff47-4415-a6a8-ed142891dc0c,sacrifice-outlet,Creature — Human Artificer
Scapegoat,"As an additional cost to cast this spell, sacrifice a creature.
Return any number of target creatures you control to their owner's hand.",04eb4fc0-0cc5-44f1-af5a-44579125d5c2,sacrifice-outlet,Instant
Scorched Rusalka,"{R}, Sacrifice a creature: Scorched Rusalka deals 1 damage to target player or planeswalker.",dd05fd8e-f25e-4b9e-b162-afea1b248282,sacrifice-outlet,Creature — Spirit
Shard Volley,"As an additional cost to cast this spell, sacrifice a land.
Shard Volley deals 3 damage to any target.",3d19ab38-fb32-4f2b-b68c-28db4a6864c6,sacrifice-outlet,Instant
Shrapnel Blast,"As an additional cost to cast this spell, sacrifice an artifact.
Shrapnel Blast deals 5 damage to any target.",d3c623f3-c7c9-47c0-8096-6dee3267baff,sacrifice-outlet,Instant
Siege-Gang Commander,"When Siege-Gang Commander enters the battlefield, create three 1/1 red Goblin creature tokens.
{1}{R}, Sacrifice a Goblin: Siege-Gang Commander deals 2 damage to any target.",ddc7f59a-bbb1-4ba1-82c8-6813fd191940,sacrifice-outlet,Creature — Goblin
Silumgar Scavenger,"Flying
Exploit (When this creature enters the battlefield, you may sacrifice a creature.)
Whenever another creature you control dies, put a +1/+1 counter on Silumgar Scavenger. It gains haste until end of turn if it exploited that creature.",ce068b46-9301-42fb-9db1-9c0da5275d89,sacrifice-outlet,Creature — Zombie Bird
Skarrgan Skybreaker,"Bloodthirst 3 (If an opponent was dealt damage this turn, this creature enters the battlefield with three +1/+1 counters on it.)
{1}, Sacrifice Skarrgan Skybreaker: It deals damage equal to its power to any target.",0a45d8d4-2a5e-4b5b-b430-fc2fd5fd82c0,sacrifice-outlet,Creature — Giant Shaman
Skirsdag Cultist,"{R}, {T}, Sacrifice a creature: Skirsdag Cultist deals 2 damage to any target.",a7fe5473-fae5-490e-8600-b7e497b9989e,sacrifice-outlet,Creature — Human Shaman
Skull Catapult,"{1}, {T}, Sacrifice a creature: Skull Catapult deals 2 damage to any target.",eef931d8-4048-4c33-bd8c-0f67d1083ee6,sacrifice-outlet,Artifact
Smothering Abomination,"Devoid (This card has no color.)
Flying
At the beginning of your upkeep, sacrifice a creature.
Whenever you sacrifice a creature, draw a card.",c3db28e5-6162-4642-a1c9-a7ace0737950,sacrifice-outlet,Creature — Eldrazi
Soulblast,"As an additional cost to cast this spell, sacrifice all creatures you control.
Soulblast deals damage to any target equal to the total power of the sacrificed creatures.",18d4c57b-e2bf-47a0-8823-c4a79498a7ff,sacrifice-outlet,Instant
Soul Exchange,"As an additional cost to cast this spell, exile a creature you control.
Return target creature card from your graveyard to the battlefield. Put a +2/+2 counter on that creature if the exiled creature was a Thrull.",366ea3b4-5e7e-4693-9f4b-1e549972609e,sacrifice-outlet,Sorcery
Spark Reaper,"{3}, Sacrifice a creature or planeswalker: You gain 1 life and draw a card.",894176e3-af9c-41ef-9f35-59dfdda3c17f,sacrifice-outlet,Creature — Zombie
Spitting Spider,"Reach (This creature can block creatures with flying.)
Sacrifice a land: Spitting Spider deals 1 damage to each creature with flying.",24ddcf3c-a4f3-4373-9483-5ce6e50d6150,sweeper,Creature — Spider
Spontaneous Combustion,"As an additional cost to cast this spell, sacrifice a creature.
Spontaneous Combustion deals 3 damage to each creature.",0f81064d-01cd-4a61-8aea-2544e4d14b70,sweeper,Instant
Sword of the Ages,"Sword of the Ages enters the battlefield tapped.
{T}, Sacrifice Sword of the Ages and any number of creatures you control: Sword of the Ages deals X damage to any target, where X is the total power of the creatures sacrificed this way, then exile Sword of the Ages and those creature cards.",201f2434-96b3-408c-a5ce-74d0675920ed,sacrifice-outlet,Artifact
Tar Pitcher,"{T}, Sacrifice a Goblin: Tar Pitcher deals 2 damage to any target.",e6991ab8-36f7-40c4-ad37-06e847d92664,sacrifice-outlet,Creature — Goblin Shaman
Tel-Jilad Lifebreather,"{G}, {T}, Sacrifice a Forest: Regenerate target creature.",1ef49064-eb2a-49ae-917e-3d441ba14bf9,sacrifice-outlet,Creature — Troll Shaman
Thud,"As an additional cost to cast this spell, sacrifice a creature.
Thud deals damage equal to the sacrificed creature's power to any target.",5d2a9859-1353-4431-9343-f5999450acd1,sacrifice-outlet,Sorcery
Tormented Thoughts,"As an additional cost to cast this spell, sacrifice a creature.
Target player discards a number of cards equal to the sacrificed creature's power.",18aee20d-ab73-4fdb-a65c-101beae5fcf5,sacrifice-outlet,Sorcery
Trap Digger,"{2}{W}, {T}: Put a trap counter on target land you control.
Sacrifice a land with a trap counter on it: Trap Digger deals 3 damage to target attacking creature without flying.",91857f68-4b0e-4fdf-8782-74324b496648,sacrifice-outlet,Creature — Human Soldier
Triskelavus,"Flying
Triskelavus enters the battlefield with three +1/+1 counters on it.
{1}, Remove a +1/+1 counter from Triskelavus: Create a 1/1 colorless Triskelavite artifact creature token with flying. It has ""Sacrifice this creature: This creature deals 1 damage to any target.""",e958f7bf-3011-4175-b467-ca225a9b7ad2,sacrifice-outlet,Artifact Creature — Construct
"Tymaret, the Murder King","{1}{R}, Sacrifice another creature: Tymaret, the Murder King deals 2 damage to target player or planeswalker.
{1}{B}, Sacrifice a creature: Return Tymaret from your graveyard to your hand.",0a029c61-b1de-427b-a8e8-36f3a23f001b,sacrifice-outlet,Legendary Creature — Zombie Warrior
Utopia Mycon,"At the beginning of your upkeep, put a spore counter on Utopia Mycon.
Remove three spore counters from Utopia Mycon: Create a 1/1 green Saproling creature token.
Sacrifice a Saproling: Add one mana of any color.",492dafd8-0393-4151-845c-d9ca10bda03e,sacrifice-outlet,Creature — Fungus
Valleymaker,"{T}, Sacrifice a Mountain: Valleymaker deals 3 damage to target creature.
{T}, Sacrifice a Forest: Choose a player. That player adds {G}{G}{G}.",57098671-016e-4adb-ba7d-ab2dd2bc34e3,ramp,Creature — Giant Shaman
Village Elder,"{G}, {T}, Sacrifice a Forest: Regenerate target creature.",adea6cb4-1e74-4137-9c80-1dde004a6b26,sacrifice-outlet,Creature — Human Druid
Vivisection,"As an additional cost to cast this spell, sacrifice a creature.
Draw three cards.",46f78c42-85d1-4cd4-9fc3-d5fdec04a4c8,sacrifice-outlet,Sorcery
Wake of Vultures,"Flying
{1}{B}, Sacrifice a creature: Regenerate Wake of Vultures.",2948b1d5-c12c-45c4-a3e8-aa470fcee1af,sacrifice-outlet,Creature — Bird
Wall of Mulch,"Defender (This creature can't attack.)
{G}, Sacrifice a Wall: Draw a card.",afd2141f-1b0f-46b5-b1ac-aa28982d16c0,sacrifice-outlet,Creature — Wall
"Whisper, Blood Liturgist","{T}, Sacrifice two creatures: Return target creature card from your graveyard to the battlefield.",496ab82e-24a9-4a74-ba4b-992c7309b44a,sacrifice-outlet,Legendary Creature — Human Cleric
Worthy Cause,"Buyback {2} (You may pay an additional {2} as you cast this spell. If you do, put this card into your hand as it resolves.)
As an additional cost to cast this spell, sacrifice a creature.
You gain life equal to the sacrificed creature's toughness.",b24063f7-157f-47c0-919a-33856d53b902,sacrifice-outlet,Instant
Armageddon,Destroy all lands.,c9ed8b01-959a-47d6-891e-0abbdccf6e4f,removal,Sorcery
Aetherize,Return all attacking creatures to their owner's hand.,7c779721-cd1b-4696-9ae9-68ccc284ed2a,sweeper,Instant
Aethersquall Ancient,"Flying
At the beginning of your upkeep, you get {E}{E}{E} (three energy counters).
Pay {E}{E}{E}{E}{E}{E}{E}{E}: Return all other creatures to their owners' hands. Activate this ability only any time you could cast a sorcery.",47c685b1-6e1e-4e08-8a52-9da6902df113,sweeper,Creature — Leviathan
Aggravate,Aggravate deals 1 damage to each creature target player controls. Each creature dealt damage this way attacks this turn if able.,192aa7b2-a819-4ffd-bfbf-a270271898e6,sweeper,Instant
"Ajani, Strength of the Pride","+1: You gain life equal to the number of creatures you control plus the number of planeswalkers you control.
−2: Create a 2/2 white Cat Soldier creature token named Ajani's Pridemate with ""Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.""
0: If you have at least 15 life more than your starting life total, exile Ajani, Strength of the Pride and each artifact and creature your opponents control.",c3974ec7-7af0-4b65-baf6-4c1c4fe8a5c4,sweeper,Legendary Planeswalker — Ajani
Ajani Vengeant,"+1: Target permanent doesn't untap during its controller's next untap step.
−2: Ajani Vengeant deals 3 damage to any target and you gain 3 life.
−7: Destroy all lands target player controls.",f953afdf-96f7-4851-994c-1617e8f5e5c9,sweeper,Legendary Planeswalker — Ajani
Akroma's Vengeance,"Destroy all artifacts, creatures, and enchantments.
Cycling {3} ({3}, Discard this card: Draw a card.)",ae19dce5-c9fc-4fbe-99b5-dc6a12124a68,sweeper,Sorcery
Aligned Hedron Network,"When Aligned Hedron Network enters the battlefield, exile all creatures with power 5 or greater until Aligned Hedron Network leaves the battlefield. (Those creatures return under their owners' control.)",5a399467-abb7-4f33-962d-8bef5aa9ebf3,removal,Artifact
All Is Dust,Each player sacrifices all colored permanents they control.,14693689-d087-43b6-9c3f-63ab0648fc20,sweeper,Tribal Sorcery — Eldrazi
Anarchy,Destroy all white permanents.,b91ed762-9232-4b77-abf4-97f66637f49c,sweeper,Sorcery
Angel of the Dire Hour,"Flash
Flying
When Angel of the Dire Hour enters the battlefield, if you cast it from your hand, exile all attacking creatures.",8b1e6b7c-892d-4058-b183-9121cdd623f0,sweeper,Creature — Angel
Anger of the Gods,"Anger of the Gods deals 3 damage to each creature. If a creature dealt damage this way would die this turn, exile it instead.",3a7fe095-8278-4b1d-bec4-19b35bdcdd1b,sweeper,Sorcery
"Angrath, Minotaur Pirate","+2: Angrath, Minotaur Pirate deals 1 damage to target opponent or planeswalker and each creature that player or that planeswalker's controller controls.
−3: Return target Pirate card from your graveyard to the battlefield.
−11: Destroy all creatures target opponent controls. Angrath, Minotaur Pirate deals damage to that player equal to their total power.",2737a78c-77ed-4bd0-ac0d-39ca2d816e83,removal,Legendary Planeswalker — Angrath
Apocalypse Chime,"{2}, {T}, Sacrifice Apocalypse Chime: Destroy all nontoken permanents with a name originally printed in the Homelands expansion. They can't be regenerated.",995e2412-3f69-4aaf-a5d6-ae0ecbb95061,sweeper,Artifact
"Arashi, the Sky Asunder","{X}{G}, {T}: Arashi, the Sky Asunder deals X damage to target creature with flying.
Channel — {X}{G}{G}, Discard Arashi: Arashi deals X damage to each creature with flying.",9277b680-a146-4d4f-9649-39cddafdb585,sweeper,Legendary Creature — Spirit
Archfiend of Depravity,"Flying
At the beginning of each opponent's end step, that player chooses up to two creatures they control, then sacrifices the rest.",af247e2f-b271-4f5b-ab98-4579d2c17c21,sweeper,Creature — Demon
Ascendant Evincar,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Other black creatures get +1/+1.
Nonblack creatures get -1/-1.",e32c0de7-132d-4a39-85fb-da0ed1132878,removal,Legendary Creature — Vampire
Ashen Firebeast,{1}{R}: Ashen Firebeast deals 1 damage to each creature without flying.,7246e3a0-f8b7-4c1b-ae75-a1eb8990a728,sweeper,Creature — Elemental Beast
Ashling the Pilgrim,"{1}{R}: Put a +1/+1 counter on Ashling the Pilgrim. If this is the third time this ability has resolved this turn, remove all +1/+1 counters from Ashling the Pilgrim, and it deals that much damage to each creature and each player.",bc92f0ba-2cf0-453c-a0d3-98a8784fe55b,sweeper,Legendary Creature — Elemental Shaman
Austere Command,"Choose two —
• Destroy all artifacts.
• Destroy all enchantments.
• Destroy all creatures with converted mana cost 3 or less.
• Destroy all creatures with converted mana cost 4 or greater.",09cc8709-fe10-472a-b05c-e89f3523018d,sweeper,Sorcery
Back to Nature,Destroy all enchantments.,b8d8ece6-397e-4bc9-b86c-7caa1d675d0f,sweeper,Instant
Baki's Curse,Baki's Curse deals 2 damage to each creature for each Aura attached to that creature.,341a92b9-d6a0-499e-abb7-e2b7d7bc248c,sweeper,Sorcery
Balancing Act,"Each player chooses a number of permanents they control equal to the number of permanents controlled by the player who controls the fewest, then sacrifices the rest. Each player discards cards the same way.",4c68282b-776f-463a-9652-f611538c53ee,sweeper,Sorcery
Balefire Dragon,"Flying
Whenever Balefire Dragon deals combat damage to a player, it deals that much damage to each creature that player controls.",3d783beb-9ca6-4681-9276-fc3ad13b993f,sweeper,Creature — Dragon
Bane of Progress,"When Bane of Progress enters the battlefield, destroy all artifacts and enchantments. Put a +1/+1 counter on Bane of Progress for each permanent destroyed this way.",51f9a6cc-8eb2-44ed-a2d9-913ac514ad67,sweeper,Creature — Elemental
Bane of the Living,"Morph {X}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When Bane of the Living is turned face up, all creatures get -X/-X until end of turn.",c99e4768-192c-49bf-8f51-c204a2248326,sweeper,Creature — Insect
Barrage of Boulders,"Barrage of Boulders deals 1 damage to each creature you don't control.
Ferocious — If you control a creature with power 4 or greater, creatures can't block this turn.",71a756f3-cd1e-4047-90ac-eda096b90647,sweeper,Sorcery
Bearer of the Heavens,"When Bearer of the Heavens dies, destroy all permanents at the beginning of the next end step.",54e86bc8-ff48-49be-902c-4923d59901a7,sweeper,Creature — Giant
Bend or Break,"Each player separates all nontoken lands they control into two piles. For each player, one of their piles is chosen by one of their opponents of their choice. Destroy all lands in the chosen piles. Tap all lands in the other piles.",4362efe4-339d-40e1-bd72-3cc9e41bf93f,sweeper,Sorcery
Biting Rain,"All creatures get -2/-2 until end of turn.
Madness {2}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",485cfaca-9348-418b-a751-2ecb19f3f210,sweeper,Sorcery
Black Sun's Zenith,Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library.,038c0165-32b6-4e81-8180-604b49905207,sweeper,Sorcery
Blasphemous Act,"This spell costs {1} less to cast for each creature on the battlefield.
Blasphemous Act deals 13 damage to each creature.",7a2484a9-04fd-41a0-8224-610c1c07ed10,sweeper,Sorcery
Blazing Volley,Blazing Volley deals 1 damage to each creature your opponents control.,3656338d-ca08-465b-b09a-d8d8d1196eec,sweeper,Sorcery
Bloodfire Colossus,"{R}, Sacrifice Bloodfire Colossus: It deals 6 damage to each creature and each player.",cc59e28a-eda3-468c-a31b-73e4b615f953,sweeper,Creature — Giant
Bloodfire Dwarf,"{R}, Sacrifice Bloodfire Dwarf: It deals 1 damage to each creature without flying.",ff42551a-a08e-4d0c-a5b1-d1c1bbff4915,sweeper,Creature — Dwarf
Bloodfire Kavu,"{R}, Sacrifice Bloodfire Kavu: It deals 2 damage to each creature.",a12880c4-1987-42af-8595-0b88981e1091,sweeper,Creature — Kavu
Boil,Destroy all Islands.,3a51485b-31b2-4fa5-824a-a919f9d28ca8,sweeper,Instant
Boiling Earth,"Boiling Earth deals 1 damage to each creature your opponents control.
Awaken 4—{6}{R} (If you cast this spell for {6}{R}, also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)",fb34b671-b61a-47e2-90fa-dbe5cf6d3743,sweeper,Sorcery
Boiling Seas,Destroy all Islands.,7421b711-81a4-4042-b024-f55bf9ff203f,sweeper,Sorcery
Bonfire of the Damned,"Bonfire of the Damned deals X damage to target player or planeswalker and each creature that player or that planeswalker's controller controls.
Miracle {X}{R} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",13822dcf-0639-4852-9a7f-e1d55719e82c,sweeper,Sorcery
Bontu's Last Reckoning,Destroy all creatures. Lands you control don't untap during your next untap step.,c010d833-1873-4132-b4ff-8d78b3d7c2d7,sweeper,Sorcery
Boompile,"{T}: Flip a coin. If you win the flip, destroy all nonland permanents.",85b8902f-2515-4ded-b28a-a83334f089f1,sweeper,Artifact
Borrowing the East Wind,Borrowing the East Wind deals X damage to each creature with horsemanship and each player.,79334732-8db1-4393-9fed-3cde3c572c5c,sweeper,Sorcery
Breaking Point,"Any player may have Breaking Point deal 6 damage to them. If no one does, destroy all creatures. Creatures destroyed this way can't be regenerated.",a648b9ed-810a-41db-af40-3b5b4658db90,sweeper,Sorcery
Breath of Darigaaz,"Kicker {2} (You may pay an additional {2} as you cast this spell.)
Breath of Darigaaz deals 1 damage to each creature without flying and each player. If this spell was kicked, it deals 4 damage to each creature without flying and each player instead.",1954994f-17bf-4ea5-af72-60f9bfcb6569,sweeper,Sorcery
Burning of Xinye,"You destroy four lands you control, then target opponent destroys four lands they control. Then Burning of Xinye deals 4 damage to each creature.",3a3cec13-4766-40d2-88e0-41bcdd5249e9,removal,Sorcery
Caldera Hellion,"Devour 1 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with that many +1/+1 counters on it.)
When Caldera Hellion enters the battlefield, it deals 3 damage to each creature.",86a7dba7-aff9-4086-b149-03eee812249f,sweeper,Creature — Hellion
Calming Verse,"Destroy all enchantments you don't control. Then if you control an untapped land, destroy all enchantments you control.",c70ae479-0bd1-481c-885f-16bfa096cf58,sweeper,Sorcery
Canopy Surge,"Kicker {2} (You may pay an additional {2} as you cast this spell.)
Canopy Surge deals 1 damage to each creature with flying and each player. If this spell was kicked, it deals 4 damage to each creature with flying and each player instead.",a151c45f-0b9e-41af-90b3-fafa12e3bbce,sweeper,Sorcery
Cataclysm,"Each player chooses from among the permanents they control an artifact, a creature, an enchantment, and a land, then sacrifices the rest.",b0479ca4-e925-4aa7-a4fa-f7e01f899ac5,sweeper,Sorcery
Cataclysmic Gearhulk,"Vigilance
When Cataclysmic Gearhulk enters the battlefield, each player chooses an artifact, a creature, an enchantment, and a planeswalker from among the nonland permanents they control, then sacrifices the rest.",2e4865c5-a590-4820-81ec-926014ddb8c4,sweeper,Artifact Creature — Construct
Catastrophe,Destroy all lands or all creatures. Creatures destroyed this way can't be regenerated.,ed68160e-5e3d-44f2-ac7a-3749fda10119,sweeper,Sorcery
Cathedral Membrane,"({W/P} can be paid with either {W} or 2 life.)
Defender
When Cathedral Membrane dies during combat, it deals 6 damage to each creature it blocked this combat.",0297eeb2-47ec-4f9a-b1ad-4e7286994f00,removal,Artifact Creature — Wall
Cave-In,"You may exile a red card from your hand rather than pay this spell's mana cost.
Cave-In deals 2 damage to each creature and each player.",7d937265-02f5-4f2c-9fef-c5930e13b3be,sweeper,Sorcery
Celestial Kirin,"Flying
Whenever you cast a Spirit or Arcane spell, destroy all permanents with that spell's converted mana cost.",a5f7967e-d357-4ab6-96ac-77262864f280,sweeper,Legendary Creature — Kirin Spirit
Cerebral Eruption,"Target opponent reveals the top card of their library. Cerebral Eruption deals damage equal to the revealed card's converted mana cost to that player and each creature that player controls. If a land card is revealed this way, return Cerebral Eruption to its owner's hand.",8143642e-ce93-47f1-a601-3a4f5731e1d7,sweeper,Sorcery
Chain Reaction,"Chain Reaction deals X damage to each creature, where X is the number of creatures on the battlefield.",086b2564-9114-4ba2-94fd-b490f98f38a7,sweeper,Sorcery
"Chandra, Awakened Inferno","This spell can't be countered.
+2: Each opponent gets an emblem with ""At the beginning of your upkeep, this emblem deals 1 damage to you.""
−3: Chandra, Awakened Inferno deals 3 damage to each non-Elemental creature.
−X: Chandra, Awakened Inferno deals X damage to target creature or planeswalker. If a permanent dealt damage this way would die this turn, exile it instead.",7b2a600b-d6c8-45ff-a7fc-06105d27111f,sweeper,Legendary Planeswalker — Chandra
"Chandra, Bold Pyromancer","+1: Add {R}{R}. Chandra, Bold Pyromancer deals 2 damage to target player.
−3: Chandra, Bold Pyromancer deals 3 damage to target creature or planeswalker.
−7: Chandra, Bold Pyromancer deals 10 damage to target player and each creature and planeswalker they control.",1cdba3c1-19e1-43c3-a0d8-5fb2b88060d8,sweeper,Legendary Planeswalker — Chandra
"Chandra, Flame's Fury","+1: Chandra, Flame's Fury deals 2 damage to any target.
−2: Chandra, Flame's Fury deals 4 damage to target creature and 2 damage to that creature's controller.
−8: Chandra, Flame's Fury deals 10 damage to target player and each creature that player controls.",408966d2-08c0-4531-a3b4-e666840ee95c,sweeper,Legendary Planeswalker — Chandra
Chandra Nalaar,"+1: Chandra Nalaar deals 1 damage to target player or planeswalker.
−X: Chandra Nalaar deals X damage to target creature.
−8: Chandra Nalaar deals 10 damage to target player or planeswalker and each creature that player or that planeswalker's controller controls.",f4da7a43-e9d5-47ea-b2f0-3cf55a156f4a,sweeper,Legendary Planeswalker — Chandra
"Chandra, Pyrogenius","+2: Chandra, Pyrogenius deals 2 damage to each opponent.
−3: Chandra, Pyrogenius deals 4 damage to target creature.
−10: Chandra, Pyrogenius deals 6 damage to target player or planeswalker and each creature that player or that planeswalker's controller controls.",ae2c89c2-66d6-484a-a176-9ea19e00f445,sweeper,Legendary Planeswalker — Chandra
Chandra's Fury,Chandra's Fury deals 4 damage to target player or planeswalker and 1 damage to each creature that player or that planeswalker's controller controls.,eb16f188-fe12-4a13-9947-d43cd6ce270c,sweeper,Instant
Chandra's Ignition,Target creature you control deals damage equal to its power to each other creature and each opponent.,f61680da-606e-4d16-b0a0-361aa5210901,removal,Sorcery
Chaos Moon,"At the beginning of each upkeep, count the number of permanents. If the number is odd, until end of turn, red creatures get +1/+1 and whenever a player taps a Mountain for mana, that player adds an additional {R}. If the number is even, until end of turn, red creatures get -1/-1 and if a player taps a Mountain for mana, that Mountain produces colorless mana instead of any other type.",728e2960-1d85-4b3f-8b5b-915f9b9ffd2f,sweeper,Enchantment
Chaos Orb,"{1}, {T}: If Chaos Orb is on the battlefield, flip Chaos Orb onto the battlefield from a height of at least one foot. If Chaos Orb turns over completely at least once during the flip, destroy all nontoken permanents it touches. Then destroy Chaos Orb.",edb455f4-8dc9-4b7c-b25c-cb51b7dfbb41,sweeper,Artifact
Child of Alara,"Trample
When Child of Alara dies, destroy all nonland permanents. They can't be regenerated.",70dbe8a9-505d-41c2-9b5b-a991d13ab459,sweeper,Legendary Creature — Avatar
Choice of Damnations,"Target opponent chooses a number. You may have that player lose that much life. If you don't, that player sacrifices all but that many permanents.",506714a8-b9c2-443a-a9e8-ef9130e674ba,sweeper,Sorcery — Arcane
Citywide Bust,Destroy all creatures with toughness 4 or greater.,3ac01298-e45b-4ea0-8379-2074279716a4,sweeper,Sorcery
Claws of Wirewood,"Claws of Wirewood deals 3 damage to each creature with flying and each player.
Cycling {2} ({2}, Discard this card: Draw a card.)",4ef6ec4a-bbd2-487f-98c2-c0e78aebb550,sweeper,Sorcery
Cleanfall,Destroy all enchantments.,826b1c93-4e5d-4436-8d59-2d7d970f609f,sweeper,Sorcery — Arcane
Cleanse,Destroy all black creatures.,a610c77c-fe31-4465-a1c1-392db4ce4ed1,sweeper,Sorcery
Cleansing Meditation,"Destroy all enchantments.
Threshold — If seven or more cards are in your graveyard, instead destroy all enchantments, then return all cards in your graveyard destroyed this way to the battlefield.",658bccf8-fe73-4d6a-b37b-7a58034e5e5d,sweeper,Sorcery
Cleansing Nova,"Choose one —
• Destroy all creatures.
• Destroy all artifacts and enchantments.",aff34f28-f707-4458-8af3-1bd5b13a6b10,sweeper,Sorcery
Cloudthresher,"Flash
Reach
When Cloudthresher enters the battlefield, it deals 2 damage to each creature with flying and each player.
Evoke {2}{G}{G} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",ab0e2aa0-1ddd-4a4c-b7cd-4063caaa8bcd,sweeper,Creature — Elemental
Coastal Breach,"Undaunted (This spell costs {1} less to cast for each opponent.)
Return all nonland permanents to their owners' hands.",e42b6bd7-8fdf-4452-85cc-9aed790ff682,sweeper,Sorcery
Coercive Portal,"Will of the council — At the beginning of your upkeep, starting with you, each player votes for carnage or homage. If carnage gets more votes, sacrifice Coercive Portal and destroy all nonland permanents. If homage gets more votes or the vote is tied, draw a card.",eea4feef-2595-4ed2-92a0-11ccb3e7d40e,sweeper,Artifact
Consulate Crackdown,"When Consulate Crackdown enters the battlefield, exile all artifacts your opponents control until Consulate Crackdown leaves the battlefield.",128f7e5a-17e0-4069-a185-c9f874c7d234,removal,Enchantment
Corrosion,"Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
At the beginning of your upkeep, put a rust counter on each artifact target opponent controls. Then destroy each artifact with converted mana cost less than or equal to the number of rust counters on it. Artifacts destroyed this way can't be regenerated.
When Corrosion leaves the battlefield, remove all rust counters from all permanents.",3d3fd8a2-78d4-4f52-8fcd-0c6fa93f0043,sweeper,Enchantment
Corrosive Gale,"({G/P} can be paid with either {G} or 2 life.)
Corrosive Gale deals X damage to each creature with flying.",6143073f-4110-4a37-bc0c-89fbda2fc839,sweeper,Sorcery
Cosmotronic Wave,Cosmotronic Wave deals 1 damage to each creature your opponents control. Creatures your opponents control can't block this turn.,079ac521-9414-46c1-acd9-2ff2ff047d22,sweeper,Sorcery
Creeping Corrosion,Destroy all artifacts.,33eefb22-51a6-4630-9bd2-0895997f6f33,sweeper,Sorcery
